home,away,kickoff,bookmaker,outcome,odds
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetMGM,Draw,4.0
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,LowVig.ag,Bournemouth,4.5
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,LowVig.ag,Tottenham Hotspur,1.74
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,LowVig.ag,Draw,4.22
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetOnline.ag,Bournemouth,4.5
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetOnline.ag,Tottenham Hotspur,1.74
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetOnline.ag,Draw,4.22
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetUS,Bournemouth,4.39
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetUS,Tottenham Hotspur,1.71
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetUS,Draw,4.1
Sunderland,Brentford,2025-08-30T14:00:00Z,FanDuel,Brentford,2.5
Sunderland,Brentford,2025-08-30T14:00:00Z,FanDuel,Sunderland,2.9
Sunderland,Brentford,2025-08-30T14:00:00Z,FanDuel,Draw,3.2
Sunderland,Brentford,2025-08-30T14:00:00Z,MyBookie.ag,Brentford,2.5
Sunderland,Brentford,2025-08-30T14:00:00Z,MyBookie.ag,Sunderland,2.9
Sunderland,Brentford,2025-08-30T14:00:00Z,MyBookie.ag,Draw,3.08
Sunderland,Brentford,2025-08-30T14:00:00Z,DraftKings,Brentford,2.55
Sunderland,Brentford,2025-08-30T14:00:00Z,DraftKings,Sunderland,2.9
Sunderland,Brentford,2025-08-30T14:00:00Z,DraftKings,Draw,3.25
Sunderland,Brentford,2025-08-30T14:00:00Z,BetRivers,Brentford,2.48
Sunderland,Brentford,2025-08-30T14:00:00Z,BetRivers,Sunderland,2.8
Sunderland,Brentford,2025-08-30T14:00:00Z,BetRivers,Draw,3.35
Sunderland,Brentford,2025-08-30T14:00:00Z,Bovada,Brentford,2.51
Sunderland,Brentford,2025-08-30T14:00:00Z,Bovada,Sunderland,2.95
Sunderland,Brentford,2025-08-30T14:00:00Z,Bovada,Draw,3.15
Sunderland,Brentford,2025-08-30T14:00:00Z,BetOnline.ag,Brentford,2.53
Sunderland,Brentford,2025-08-30T14:00:00Z,BetOnline.ag,Sunderland,3.01
Sunderland,Brentford,2025-08-30T14:00:00Z,BetOnline.ag,Draw,3.25
Sunderland,Brentford,2025-08-30T14:00:00Z,LowVig.ag,Brentford,2.53
Sunderland,Brentford,2025-08-30T14:00:00Z,LowVig.ag,Sunderland,3.01
Sunderland,Brentford,2025-08-30T14:00:00Z,LowVig.ag,Draw,3.25
Sunderland,Brentford,2025-08-30T14:00:00Z,BetUS,Brentford,2.48
Sunderland,Brentford,2025-08-30T14:00:00Z,BetUS,Sunderland,2.93
Sunderland,Brentford,2025-08-30T14:00:00Z,BetUS,Draw,3.21
Manchester United,Burnley,2025-08-30T14:00:00Z,FanDuel,Burnley,8.0
Manchester United,Burnley,2025-08-30T14:00:00Z,FanDuel,Manchester United,1.32
Manchester United,Burnley,2025-08-30T14:00:00Z,FanDuel,Draw,5.0
Manchester United,Burnley,2025-08-30T14:00:00Z,MyBookie.ag,Burnley,7.6
Manchester United,Burnley,2025-08-30T14:00:00Z,MyBookie.ag,Manchester United,1.35
Manchester United,Burnley,2025-08-30T14:00:00Z,MyBookie.ag,Draw,5.0
Manchester United,Burnley,2025-08-30T14:00:00Z,DraftKings,Burnley,8.0
Manchester United,Burnley,2025-08-30T14:00:00Z,DraftKings,Manchester United,1.37
Manchester United,Burnley,2025-08-30T14:00:00Z,DraftKings,Draw,5.0
Manchester United,Burnley,2025-08-30T14:00:00Z,BetRivers,Burnley,8.0
Manchester United,Burnley,2025-08-30T14:00:00Z,BetRivers,Manchester United,1.36
Manchester United,Burnley,2025-08-30T14:00:00Z,BetRivers,Draw,4.9
Manchester United,Burnley,2025-08-30T14:00:00Z,Bovada,Burnley,8.0
Manchester United,Burnley,2025-08-30T14:00:00Z,Bovada,Manchester United,1.36
Manchester United,Burnley,2025-08-30T14:00:00Z,Bovada,Draw,5.2
Manchester United,Burnley,2025-08-30T14:00:00Z,BetMGM,Burnley,8.0
Manchester United,Burnley,2025-08-30T14:00:00Z,BetMGM,Manchester United,1.36
Manchester United,Burnley,2025-08-30T14:00:00Z,BetMGM,Draw,5.0
Manchester United,Burnley,2025-08-30T14:00:00Z,BetOnline.ag,Burnley,8.55
Manchester United,Burnley,2025-08-30T14:00:00Z,BetOnline.ag,Manchester United,1.37
Manchester United,Burnley,2025-08-30T14:00:00Z,BetOnline.ag,Draw,5.32
Manchester United,Burnley,2025-08-30T14:00:00Z,LowVig.ag,Burnley,8.55
Manchester United,Burnley,2025-08-30T14:00:00Z,LowVig.ag,Manchester United,1.37
Manchester United,Burnley,2025-08-30T14:00:00Z,LowVig.ag,Draw,5.32
Manchester United,Burnley,2025-08-30T14:00:00Z,BetUS,Burnley,8.34
Manchester United,Burnley,2025-08-30T14:00:00Z,BetUS,Manchester United,1.35
Manchester United,Burnley,2025-08-30T14:00:00Z,BetUS,Draw,5.14
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,FanDuel,Everton,2.95
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,FanDuel,Wolverhampton Wanderers,2.5
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,FanDuel,Draw,3.1
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,MyBookie.ag,Everton,2.85
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,MyBookie.ag,Wolverhampton Wanderers,2.55
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,MyBookie.ag,Draw,3.06
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,DraftKings,Everton,2.9
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,DraftKings,Wolverhampton Wanderers,2.55
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,DraftKings,Draw,3.2
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetRivers,Everton,2.85
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetRivers,Wolverhampton Wanderers,2.5
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetRivers,Draw,3.25
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,Bovada,Everton,2.95
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,Bovada,Wolverhampton Wanderers,2.52
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,Bovada,Draw,3.12
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,LowVig.ag,Everton,2.93
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,LowVig.ag,Wolverhampton Wanderers,2.63
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,LowVig.ag,Draw,3.18
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetOnline.ag,Everton,2.93
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetOnline.ag,Wolverhampton Wanderers,2.63
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetOnline.ag,Draw,3.18
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetUS,Everton,2.95
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetUS,Wolverhampton Wanderers,2.52
Wolverhampton Wanderers,Everton,2025-08-30T14:00:00Z,BetUS,Draw,3.12
Leeds United,Newcastle United,2025-08-30T16:30:00Z,FanDuel,Leeds United,3.4
Leeds United,Newcastle United,2025-08-30T16:30:00Z,FanDuel,Newcastle United,2.1
Leeds United,Newcastle United,2025-08-30T16:30:00Z,FanDuel,Draw,3.4
Leeds United,Newcastle United,2025-08-30T16:30:00Z,MyBookie.ag,Leeds United,3.4
Leeds United,Newcastle United,2025-08-30T16:30:00Z,MyBookie.ag,Newcastle United,2.05
Leeds United,Newcastle United,2025-08-30T16:30:00Z,MyBookie.ag,Draw,3.48
Leeds United,Newcastle United,2025-08-30T16:30:00Z,DraftKings,Leeds United,3.4
Leeds United,Newcastle United,2025-08-30T16:30:00Z,DraftKings,Newcastle United,2.1
Leeds United,Newcastle United,2025-08-30T16:30:00Z,DraftKings,Draw,3.5
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetRivers,Leeds United,3.45
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetRivers,Newcastle United,2.07
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetRivers,Draw,3.5
Leeds United,Newcastle United,2025-08-30T16:30:00Z,Bovada,Leeds United,3.45
Leeds United,Newcastle United,2025-08-30T16:30:00Z,Bovada,Newcastle United,2.08
Leeds United,Newcastle United,2025-08-30T16:30:00Z,Bovada,Draw,3.55
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetMGM,Leeds United,3.25
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetMGM,Newcastle United,2.15
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetMGM,Draw,3.5
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetUS,Leeds United,3.45
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetUS,Newcastle United,2.08
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetUS,Draw,3.55
Leeds United,Newcastle United,2025-08-30T16:30:00Z,LowVig.ag,Leeds United,3.47
Leeds United,Newcastle United,2025-08-30T16:30:00Z,LowVig.ag,Newcastle United,2.12
Leeds United,Newcastle United,2025-08-30T16:30:00Z,LowVig.ag,Draw,3.63
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetOnline.ag,Leeds United,3.47
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetOnline.ag,Newcastle United,2.12
Leeds United,Newcastle United,2025-08-30T16:30:00Z,BetOnline.ag,Draw,3.63
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,FanDuel,Brighton and Hove Albion,4.1
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,FanDuel,Manchester City,1.77
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,FanDuel,Draw,3.8
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,MyBookie.ag,Brighton and Hove Albion,4.0
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,MyBookie.ag,Manchester City,1.8
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,MyBookie.ag,Draw,3.65
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,DraftKings,Brighton and Hove Albion,4.0
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,DraftKings,Manchester City,1.83
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,DraftKings,Draw,3.85
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetRivers,Brighton and Hove Albion,4.0
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetRivers,Manchester City,1.8
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetRivers,Draw,3.95
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,Bovada,Brighton and Hove Albion,4.1
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,Bovada,Manchester City,1.83
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,Bovada,Draw,3.8
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetMGM,Brighton and Hove Albion,4.1
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetMGM,Manchester City,1.77
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetMGM,Draw,4.0
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetOnline.ag,Brighton and Hove Albion,4.2
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetOnline.ag,Manchester City,1.85
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetOnline.ag,Draw,3.9
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,LowVig.ag,Brighton and Hove Albion,4.2
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,LowVig.ag,Manchester City,1.85
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,LowVig.ag,Draw,3.9
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetUS,Brighton and Hove Albion,4.1
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetUS,Manchester City,1.83
Brighton and Hove Albion,Manchester City,2025-08-31T13:00:00Z,BetUS,Draw,3.8
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,FanDuel,Nottingham Forest,1.61
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,FanDuel,West Ham United,5.3
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,FanDuel,Draw,3.7
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,MyBookie.ag,Nottingham Forest,1.66
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,MyBookie.ag,West Ham United,4.9
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,MyBookie.ag,Draw,3.7
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,DraftKings,Nottingham Forest,1.69
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,DraftKings,West Ham United,4.9
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,DraftKings,Draw,3.85
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetRivers,Nottingham Forest,1.66
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetRivers,West Ham United,5.1
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetRivers,Draw,3.9
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,Bovada,Nottingham Forest,1.68
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,Bovada,West Ham United,5.05
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,Bovada,Draw,3.85
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetMGM,Nottingham Forest,1.71
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetMGM,West Ham United,4.8
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetMGM,Draw,3.7
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetOnline.ag,Nottingham Forest,1.69
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetOnline.ag,West Ham United,5.25
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetOnline.ag,Draw,3.95
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,LowVig.ag,Nottingham Forest,1.69
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,LowVig.ag,West Ham United,5.25
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,LowVig.ag,Draw,3.95
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetUS,Nottingham Forest,1.68
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetUS,West Ham United,5.05
Nottingham Forest,West Ham United,2025-08-31T13:00:00Z,BetUS,Draw,3.85
Liverpool,Arsenal,2025-08-31T15:30:00Z,FanDuel,Arsenal,3.3
Liverpool,Arsenal,2025-08-31T15:30:00Z,FanDuel,Liverpool,2.15
Liverpool,Arsenal,2025-08-31T15:30:00Z,FanDuel,Draw,3.4
Liverpool,Arsenal,2025-08-31T15:30:00Z,MyBookie.ag,Arsenal,3.3
Liverpool,Arsenal,2025-08-31T15:30:00Z,MyBookie.ag,Liverpool,2.15
Liverpool,Arsenal,2025-08-31T15:30:00Z,MyBookie.ag,Draw,3.2
Liverpool,Arsenal,2025-08-31T15:30:00Z,DraftKings,Arsenal,3.3
Liverpool,Arsenal,2025-08-31T15:30:00Z,DraftKings,Liverpool,2.1
Liverpool,Arsenal,2025-08-31T15:30:00Z,DraftKings,Draw,3.5
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetRivers,Arsenal,3.35
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetRivers,Liverpool,2.1
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetRivers,Draw,3.5
Liverpool,Arsenal,2025-08-31T15:30:00Z,Bovada,Arsenal,3.35
Liverpool,Arsenal,2025-08-31T15:30:00Z,Bovada,Liverpool,2.13
Liverpool,Arsenal,2025-08-31T15:30:00Z,Bovada,Draw,3.5
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetMGM,Arsenal,3.25
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetMGM,Liverpool,2.1
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetMGM,Draw,3.6
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetUS,Arsenal,3.35
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetUS,Liverpool,2.13
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetUS,Draw,3.5
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetOnline.ag,Arsenal,3.45
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetOnline.ag,Liverpool,2.16
Liverpool,Arsenal,2025-08-31T15:30:00Z,BetOnline.ag,Draw,3.55
Liverpool,Arsenal,2025-08-31T15:30:00Z,LowVig.ag,Arsenal,3.45
Liverpool,Arsenal,2025-08-31T15:30:00Z,LowVig.ag,Liverpool,2.16
Liverpool,Arsenal,2025-08-31T15:30:00Z,LowVig.ag,Draw,3.55
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,FanDuel,Aston Villa,1.83
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,FanDuel,Crystal Palace,4.1
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,FanDuel,Draw,3.5
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,MyBookie.ag,Aston Villa,1.87
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,MyBookie.ag,Crystal Palace,3.85
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,MyBookie.ag,Draw,3.5
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetRivers,Aston Villa,1.88
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetRivers,Crystal Palace,3.95
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetRivers,Draw,3.6
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,DraftKings,Aston Villa,1.83
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,DraftKings,Crystal Palace,4.1
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,DraftKings,Draw,3.65
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,Bovada,Aston Villa,1.88
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,Bovada,Crystal Palace,4.05
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,Bovada,Draw,3.65
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetMGM,Aston Villa,1.91
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetMGM,Crystal Palace,4.0
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetMGM,Draw,3.5
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,LowVig.ag,Aston Villa,1.91
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,LowVig.ag,Crystal Palace,4.25
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,LowVig.ag,Draw,3.62
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetOnline.ag,Aston Villa,1.91
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetOnline.ag,Crystal Palace,4.25
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetOnline.ag,Draw,3.62
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetUS,Aston Villa,1.88
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetUS,Crystal Palace,4.04
Aston Villa,Crystal Palace,2025-08-31T18:00:00Z,BetUS,Draw,3.62
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,FanDuel,Arsenal,1.42
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,FanDuel,Nottingham Forest,7.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,FanDuel,Draw,4.7
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,MyBookie.ag,Arsenal,1.42
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,MyBookie.ag,Nottingham Forest,6.5
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,MyBookie.ag,Draw,4.5
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,DraftKings,Arsenal,1.43
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,DraftKings,Nottingham Forest,6.5
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,DraftKings,Draw,4.6
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,Bovada,Arsenal,1.45
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,Bovada,Nottingham Forest,6.75
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,Bovada,Draw,4.65
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,BetRivers,Arsenal,1.41
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,BetRivers,Nottingham Forest,6.5
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,BetRivers,Draw,4.7
Everton,Aston Villa,2025-09-13T14:00:00Z,MyBookie.ag,Aston Villa,2.42
Everton,Aston Villa,2025-09-13T14:00:00Z,MyBookie.ag,Everton,2.82
Everton,Aston Villa,2025-09-13T14:00:00Z,MyBookie.ag,Draw,3.2
Everton,Aston Villa,2025-09-13T14:00:00Z,FanDuel,Aston Villa,2.45
Everton,Aston Villa,2025-09-13T14:00:00Z,FanDuel,Everton,2.95
Everton,Aston Villa,2025-09-13T14:00:00Z,FanDuel,Draw,3.2
Everton,Aston Villa,2025-09-13T14:00:00Z,DraftKings,Aston Villa,2.45
Everton,Aston Villa,2025-09-13T14:00:00Z,DraftKings,Everton,2.85
Everton,Aston Villa,2025-09-13T14:00:00Z,DraftKings,Draw,3.25
Everton,Aston Villa,2025-09-13T14:00:00Z,Bovada,Aston Villa,2.48
Everton,Aston Villa,2025-09-13T14:00:00Z,Bovada,Everton,2.88
Everton,Aston Villa,2025-09-13T14:00:00Z,Bovada,Draw,3.25
Everton,Aston Villa,2025-09-13T14:00:00Z,BetRivers,Aston Villa,2.48
Everton,Aston Villa,2025-09-13T14:00:00Z,BetRivers,Everton,2.8
Everton,Aston Villa,2025-09-13T14:00:00Z,BetRivers,Draw,3.2
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,MyBookie.ag,Bournemouth,2.44
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,MyBookie.ag,Brighton and Hove Albion,2.6
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,MyBookie.ag,Draw,3.5
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,FanDuel,Bournemouth,2.5
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,FanDuel,Brighton and Hove Albion,2.7
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,FanDuel,Draw,3.5
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,DraftKings,Bournemouth,2.45
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,DraftKings,Brighton and Hove Albion,2.65
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,DraftKings,Draw,3.55
Bournemouth,Brighton and Hove Albion,2025-09-13T14:00:00Z,Bovada,Bournemouth,2.5
